path|text
common_voice_hi_24555257.wav|तोहफे के रूप में लोगों की पहली पंसद है चॉकलेट
common_voice_hi_24361298.wav|उसके हात-पैर लंबे हैं।
common_voice_hi_23832954.wav|दरवाज़ा खोलिए।
common_voice_hi_23832956.wav|मुझे मूर्ख बनना पसंद नहीं है।
common_voice_hi_23964612.wav|आप दोनों देख रही हैं।
common_voice_hi_23964614.wav|यह रही तेरी चाय।
common_voice_hi_23809919.wav|आतंकवादी लखनऊ को भी दे सकते हैं पठानकोट जैसा घाव!
common_voice_hi_23809924.wav|मुझे अपने पिता की ग़रीबी पर शर्म नहीं आती है।
common_voice_hi_23809931.wav|तुम गाड़ी चला सकते हो क्या?
common_voice_hi_23849284.wav|ईटिकट कारोबार में आईआरसीटीसी को मिल सकती है चुनौती
common_voice_hi_23849286.wav|वह रोया और और रोया।
common_voice_hi_23849287.wav|सब लोग मुझपर हँसे।
common_voice_hi_23849288.wav|वनडे से बेहतर टेस्ट क्रिकेटर है कोहली: कोच
common_voice_hi_23827473.wav|यह कुर्सी आपकी है।
common_voice_hi_23827474.wav|मैं अभी छोड़ने वाली नहीं हूँ।
common_voice_hi_23827476.wav|चाय-वाय कुछ लोगी?
common_voice_hi_23827477.wav|उसका कहा हुआ एक शब्द भी सुनने लायक नहीं है।
common_voice_hi_23852746.wav|टॉम को क्या हुआ है?
common_voice_hi_23852747.wav|शनिवार हफ़्ते का आखिरी दिन होता है।
common_voice_hi_23852749.wav|मेरा शौक गिटार बजाना है।
common_voice_hi_23852750.wav|टॉम अभी भी स्कूल में है?
common_voice_hi_24678273.wav|'बाहुबली' प्रभास के साथ भी झगड़ चुकी हैं कंगना, खुद मानी बात
common_voice_hi_24678274.wav|अक्षय कुमार स्टारर फिल्म 'बेबी' के पोस्टर का नया लुक रिलीज
common_voice_hi_24678275.wav|कमरे में एक भी खिड़की नहीं थी।
common_voice_hi_24678276.wav|उसने एक किलो मक्खन खरीदा।
common_voice_hi_24678277.wav|मेरे भाई की याददाश्त अच्छी है।
